iter,games,net,AspirationDelta,AspirationWidenPct,RfpMargin,RfpMaxDepth,LmrMinDepth,LmrMinMoveIndex,LmrDepth6At,LmrDeepAt,HistoryBonusMultPct
78,16,+0.0000,120.84,145.35,96.40,8.22,2.01,3.15,5.25,10.88,97.75
79,16,+0.0000,120.84,145.35,96.40,8.22,2.01,3.15,5.25,10.88,97.75
80,16,-0.0625,120.71,145.28,96.35,8.21,2.00,3.14,5.24,10.89,97.70
81,16,-0.0625,120.59,145.22,96.29,8.20,2.01,3.15,5.25,10.88,97.75
82,16,-0.0625,120.71,145.15,96.24,8.21,2.01,3.14,5.26,10.89,97.70
83,16,+0.3125,121.33,145.48,95.98,8.14,2.05,3.11,5.22,10.82,97.44
84,16,-0.1875,120.96,145.67,95.83,8.18,2.03,3.13,5.21,10.78,97.29
85,16,+0.0625,120.84,145.61,95.88,8.17,2.02,3.14,5.21,10.77,97.34
86,16,+0.2500,120.35,145.86,95.67,8.12,2.05,3.16,5.19,10.72,97.54
87,16,+0.0625,120.23,145.80,95.62,8.13,2.05,3.17,5.18,10.73,97.49
88,16,+0.0625,120.35,145.74,95.67,8.12,2.05,3.16,5.19,10.75,97.44
89,16,-0.2500,120.83,145.48,95.87,8.07,2.07,3.19,5.16,10.70,97.64
90,16,-0.1250,121.07,145.61,95.78,8.04,2.06,3.18,5.15,10.67,97.54
91,16,-0.3125,121.66,145.92,96.02,7.98,2.03,3.14,5.12,10.61,97.29
92,16,+0.1250,121.89,146.04,95.92,8.01,2.01,3.13,5.13,10.58,97.20
93,16,-0.0625,121.77,145.98,95.97,8.02,2.01,3.14,5.14,10.57,97.24
94,16,+0.0000,121.77,145.98,95.97,8.02,2.01,3.14,5.14,10.57,97.24
95,16,-0.0625,121.89,145.92,96.02,8.03,2.01,3.14,5.13,10.58,97.29
96,16,+0.1875,122.23,146.10,96.17,7.99,2.00,3.16,5.11,10.55,97.15
97,16,-0.2500,122.69,145.86,95.97,8.04,2.02,3.19,5.14,10.50,96.96
98,16,+0.0000,122.69,145.86,95.97,8.04,2.02,3.19,5.14,10.50,96.96
99,16,-0.1875,122.35,145.68,96.12,8.08,2.04,3.20,5.15,10.54,96.81
100,16,-0.1250,122.58,145.57,96.02,8.10,2.03,3.19,5.14,10.56,96.91
101,16,-0.2500,123.02,145.33,95.83,8.15,2.05,3.22,5.12,10.51,97.10
102,16,-0.2500,123.47,145.09,96.02,8.20,2.03,3.19,5.10,10.56,97.28
103,16,+0.0000,123.47,145.09,96.02,8.20,2.03,3.19,5.10,10.56,97.28
104,16,+0.3125,122.92,144.80,95.79,8.25,2.06,3.16,5.07,10.50,97.05
105,16,+0.1875,123.25,144.63,95.65,8.29,2.08,3.18,5.05,10.54,96.91
106,16,-0.0625,123.14,144.69,95.61,8.30,2.07,3.19,5.05,10.52,96.87
107,16,-0.1250,123.36,144.57,95.51,8.28,2.08,3.17,5.07,10.50,96.78
108,16,-0.1250,123.57,144.69,95.42,8.26,2.07,3.19,5.08,10.48,96.87
109,16,+0.0625,123.68,144.63,95.47,8.27,2.07,3.18,5.07,10.49,96.91
110,16,-0.1875,123.36,144.80,95.33,8.23,2.05,3.20,5.05,10.46,97.05
111,16,-0.1250,123.57,144.69,95.24,8.26,2.04,3.19,5.07,10.48,96.96
112,16,-0.1875,123.25,144.52,95.11,8.22,2.05,3.17,5.08,10.44,97.09
113,16,-0.1250,123.46,144.41,95.20,8.20,2.04,3.18,5.07,10.47,97.18
114,16,-0.0625,123.57,144.46,95.15,8.21,2.05,3.19,5.07,10.48,97.14
115,16,-0.2500,123.15,144.69,95.33,8.25,2.03,3.16,5.04,10.43,96.96
116,16,+0.2500,123.57,144.47,95.15,8.21,2.05,3.19,5.02,10.48,97.14
117,16,-0.2500,123.98,144.68,95.33,8.25,2.03,3.21,5.00,10.52,96.96
118,16,+0.0000,123.98,144.68,95.33,8.25,2.03,3.21,5.00,10.52,96.96
119,16,+0.1250,124.19,144.58,95.42,8.23,2.02,3.22,4.99,10.50,97.05
120,16,+0.0625,124.09,144.52,95.46,8.22,2.02,3.21,4.98,10.51,97.09
121,16,-0.1250,124.29,144.63,95.37,8.24,2.03,3.20,4.97,10.53,97.00
122,16,+0.1250,124.09,144.74,95.29,8.26,2.02,3.21,4.96,10.51,97.09
123,16,+0.2500,123.68,144.95,95.12,8.31,2.04,3.19,4.94,10.55,97.26
124,16,-0.0625,123.58,145.00,95.16,8.32,2.04,3.19,4.94,10.56,97.22
125,16,-0.3125,124.09,145.27,94.95,8.37,2.01,3.21,4.91,10.62,97.43
126,16,+0.1250,123.88,145.37,94.86,8.35,2.02,3.22,4.90,10.60,97.35
127,16,+0.2500,123.49,145.16,94.69,8.31,2.04,3.20,4.92,10.55,97.51
128,16,+0.1250,123.29,145.27,94.78,8.29,2.05,3.19,4.91,10.58,97.60
129,16,+0.0625,123.39,145.22,94.82,8.28,2.06,3.19,4.90,10.56,97.56
130,16,+0.0000,123.39,145.22,94.82,8.28,2.06,3.19,4.90,10.56,97.56
131,16,+0.0625,123.48,145.27,94.78,8.29,2.06,3.18,4.91,10.55,97.60
132,16,-0.1875,123.19,145.42,94.65,8.32,2.08,3.20,4.89,10.59,97.72
133,16,-0.1875,122.90,145.27,94.53,8.29,2.06,3.21,4.91,10.55,97.60
134,16,-0.3125,122.41,145.52,94.74,8.34,2.04,3.24,4.88,10.61,97.39
135,16,-0.1875,122.12,145.37,94.61,8.31,2.05,3.22,4.87,10.64,97.52
136,16,+0.1875,122.41,145.22,94.73,8.34,2.04,3.24,4.85,10.61,97.64
137,16,+0.0000,122.41,145.22,94.73,8.34,2.04,3.24,4.85,10.61,97.64
138,16,+0.1250,122.22,145.32,94.82,8.36,2.03,3.25,4.84,10.59,97.56
139,16,+0.0625,122.12,145.37,94.78,8.37,2.03,3.25,4.84,10.60,97.52
140,16,+0.1250,121.93,145.27,94.86,8.35,2.02,3.24,4.83,10.58,97.60
141,16,+0.1875,121.65,145.42,94.74,8.38,2.01,3.26,4.81,10.61,97.72
142,16,-0.1875,121.36,145.57,94.62,8.35,2.00,3.24,4.80,10.64,97.84
143,16,-0.0625,121.46,145.62,94.66,8.36,2.00,3.25,4.80,10.63,97.80
144,16,+0.0000,121.46,145.62,94.66,8.36,2.00,3.25,4.80,10.63,97.80
145,16,+0.3125,121.93,145.37,94.85,8.31,2.03,3.27,4.83,10.58,97.99
146,16,+0.0000,121.93,145.37,94.85,8.31,2.03,3.27,4.83,10.58,97.99
147,16,-0.1875,122.20,145.23,94.74,8.28,2.04,3.26,4.81,10.55,98.11
148,16,-0.0625,122.11,145.27,94.70,8.27,2.04,3.25,4.82,10.56,98.07
149,16,-0.0625,122.20,145.32,94.66,8.26,2.04,3.26,4.82,10.57,98.11
150,16,-0.1250,122.02,145.23,94.74,8.28,2.03,3.25,4.83,10.59,98.03
151,16,-0.0625,121.93,145.27,94.70,8.27,2.03,3.25,4.83,10.58,98.07
152,16,+0.0625,122.02,145.23,94.74,8.26,2.02,3.25,4.82,10.57,98.03
153,16,-0.0625,121.93,145.27,94.77,8.25,2.02,3.24,4.82,10.58,98.00
154,16,-0.1250,122.11,145.18,94.70,8.27,2.01,3.25,4.81,10.56,97.92
155,16,+0.0625,122.20,145.23,94.74,8.28,2.01,3.25,4.80,10.55,97.88
156,16,+0.2500,122.56,145.42,94.58,8.32,2.00,3.23,4.78,10.51,98.03
157,16,-0.1875,122.29,145.56,94.70,8.35,2.01,3.22,4.77,10.54,97.92
158,16,+0.1250,122.11,145.46,94.62,8.36,2.02,3.22,4.76,10.52,97.84
159,16,+0.0625,122.20,145.42,94.66,8.36,2.02,3.22,4.76,10.53,97.88
160,16,-0.0625,122.29,145.37,94.62,8.36,2.01,3.22,4.76,10.52,97.84
161,16,-0.0625,122.38,145.42,94.66,8.36,2.02,3.21,4.76,10.53,97.81
162,16,+0.0000,122.38,145.42,94.66,8.36,2.02,3.21,4.76,10.53,97.81
163,16,+0.1250,122.56,145.32,94.73,8.37,2.01,3.22,4.75,10.55,97.73
164,16,+0.1250,122.38,145.42,94.81,8.39,2.02,3.23,4.74,10.53,97.81
165,16,-0.1875,122.64,145.56,94.70,8.42,2.01,3.24,4.75,10.50,97.70
166,16,+0.1875,122.38,145.69,94.81,8.39,2.02,3.23,4.77,10.53,97.81
167,16,+0.0000,122.38,145.69,94.81,8.39,2.02,3.23,4.77,10.53,97.81
168,16,+0.0000,122.38,145.69,94.81,8.39,2.02,3.23,4.77,10.53,97.81
169,16,+0.0000,122.38,145.69,94.81,8.39,2.02,3.23,4.77,10.53,97.81
170,16,+0.0625,122.47,145.74,94.84,8.38,2.01,3.23,4.77,10.52,97.77
171,16,+0.0000,122.47,145.74,94.84,8.38,2.01,3.23,4.77,10.52,97.77
172,16,-0.1250,122.30,145.83,94.92,8.37,2.01,3.24,4.76,10.50,97.70
173,16,+0.1250,122.47,145.92,94.99,8.35,2.01,3.23,4.77,10.48,97.62
174,16,+0.1250,122.30,146.01,94.92,8.37,2.02,3.23,4.76,10.47,97.55
175,16,-0.0625,122.21,146.05,94.95,8.37,2.02,3.23,4.76,10.46,97.52
176,16,+0.1250,122.04,145.96,94.88,8.36,2.03,3.24,4.77,10.44,97.45
177,16,+0.0000,122.04,145.96,94.88,8.36,2.03,3.24,4.77,10.44,97.45
178,16,+0.1875,121.79,146.10,94.77,8.38,2.04,3.25,4.75,10.41,97.55
179,16,+0.0000,121.79,146.10,94.77,8.38,2.04,3.25,4.75,10.41,97.55
180,16,+0.1250,121.62,146.01,94.70,8.40,2.03,3.26,4.74,10.39,97.48
181,16,+0.0625,121.54,145.97,94.74,8.41,2.03,3.27,4.75,10.39,97.52
182,16,-0.1250,121.37,145.88,94.81,8.43,2.02,3.26,4.74,10.40,97.45
183,16,+0.1875,121.12,145.75,94.70,8.45,2.03,3.24,4.73,10.38,97.34
184,16,+0.0000,121.12,145.75,94.70,8.45,2.03,3.24,4.73,10.38,97.34
185,16,-0.1250,121.28,145.83,94.77,8.44,2.02,3.23,4.72,10.39,97.41
186,16,+0.0000,121.28,145.83,94.77,8.44,2.02,3.23,4.72,10.39,97.41
187,16,+0.2500,121.61,146.01,94.63,8.40,2.01,3.25,4.73,10.36,97.55
188,16,+0.1875,121.37,146.14,94.53,8.38,2.00,3.26,4.75,10.39,97.65
189,16,+0.2500,121.70,146.31,94.39,8.34,2.02,3.25,4.73,10.35,97.52
190,16,-0.0625,121.78,146.35,94.36,8.33,2.02,3.25,4.73,10.34,97.55
191,16,+0.1250,121.61,146.44,94.43,8.32,2.01,3.24,4.73,10.36,97.62
192,16,-0.1250,121.45,146.35,94.49,8.30,2.00,3.23,4.73,10.34,97.55
193,16,+0.0000,121.45,146.35,94.49,8.30,2.00,3.23,4.73,10.34,97.55
